Iesniegts;Grupa;Tips;Veids;Problēma;Departaments;Apstrādē;Status
"﻿""2019-01-21 10:29:04""";Ielas un ceļi;Sezonālā uzkopšana;Piesnigusi braucamā daļa;Sveiki! Kaļķu ielas posms pie CATA nav iztīrīts.;Cēsu novada Komunālā nodaļa;51h 58m 34s;Izpildītie
"﻿""2019-01-21 14:24:28""";Ielas un ceļi;Sezonālā uzkopšana;;Netīrītas no sniega pilsētas centra ielas, kā arī auto stāvvietas. Rudenī lielījāmies, kā mēs ziemai gatavi,  pienāca negaidot ziema, un esam sūnu ciemā. Vai pilsētas iedzīvotāji nav pelnījuši kārtību savā pilsētā? ;Cēsu novada Komunālā nodaļa;01h 38m 01s;Izpildītie
"﻿""2019-01-21 22:39:34""";Ielas un ceļi;Sezonālā uzkopšana;Sniega sanesumi apgrūtina redzamību;Pie 2.psk gājēju pārejas sastumtas sniega čupas. Bērnu var nepamanīt.;Cēsu novada Komunālā nodaļa;63h 04m 03s;Izpildītie
"﻿""2019-01-22 22:07:47""";Ielas un ceļi;Ceļa aprīkojums;Nav ceļa zīmes;Nepieciešama gājēju pāreja! Liela mašīnu plūsma, bērni, kas iet uz bērnudārzu un ģimnāziju! Sastumtā sniega dēļ pat bez mašīnām grūti pāriet;Cēsu novada Komunālā nodaļa;39h 38m 41s;Izpildītie
"﻿""2019-01-23 12:08:32""";Ielas un ceļi;Ceļa aprīkojums;Bojāta ceļazīme;Rožu un Purva ielas krustojumā nolauzta ielas rādītājzīme.;Cēsu novada Komunālā nodaļa;44h 41m 35s;Izpildītie
"﻿""2019-01-23 12:22:44""";Auto novietošana;Pamests transports;Atvērtas tehniskās durvis;Pamesta, izdemolēta Lada Ņiva Smilgu un Klusās ielas krustojumā bez valsts reģistrācijas numuriem.;Cēsu novada Pašvaldības policija;22h 30m 46s;Izpildītie
"﻿""2019-01-23 18:37:00""";Ielas un ceļi;Sezonālā uzkopšana;Nav notīrīts gājēju celiņš;Ceļā uz slimnīcu ar kājām,  šorīt bija ļoti slidens, knapi izejams ceļš ari tālāk,  ja iet ar ratiem vispar. Iedomājoties kā vel pensionāri vai invalidi dodas uz slimnicu - mati ceļas stavus.;Cēsu novada Komunālā nodaļa;19h 02m 56s;Izpildītie
"﻿""2019-01-24 10:11:34""";Ielas un ceļi;Sezonālā uzkopšana;Piesnigusi braucamā daļa;Joprojām no sniega nav atbrīvota ielas braucamā daļa Miera ielas galā. Tika solīts to paveikt vakardien. Diemžēl, izmaiņas nav redzamas. Atk;Cēsu novada Komunālā nodaļa;03h 20m 57s;Izpildītie
"﻿""2019-01-24 12:40:11""";Ielas un ceļi;Ceļa segums;;ludzu steidzami iztirit vilku ielas nomales. nevar samainities normali 2 mašīnas;Cēsu novada Komunālā nodaļa;00h 57m 13s;Izpildītie
"﻿""2019-01-24 12:40:41""";Daudzdzīvokļu namu apsaimniekošana;Daudzdzīvokļu namu aprīkojums;Bojāts ceļa zīmju masts;Lāstekas, kas apdraud gājējus.;Cēsu novada Komunālā nodaļa;00h 59m 05s;Izpildītie
"﻿""2019-01-25 17:19:36""";Ielas un ceļi;Sezonālā uzkopšana;Piesnigusi braucamā daļa;sveiki! vai ir iespeja notirit Puces ielu un ielu gar skolas sporta zali? apgrutinata brauksana, sniega sanesumi, risas.;Cēsu novada Komunālā nodaļa;64h 42m 04s;Izpildītie
"﻿""2019-01-26 11:53:24""";Ielas un ceļi;Sezonālā uzkopšana;;Labdien! Kad Rīgas ielā {vecpilsētā) izvedīs sniega vaļņus? Uzņēmējiem nav nodrošināta preču izkraušanas iespējas. Kā arī gājējiem ir agrūtināta nokļūšana ielas otrā pusē. ;Cēsu novada Komunālā nodaļa;00h 09m 42s;Izpildītie
"﻿""2019-01-26 21:18:07""";Ielas un ceļi;Sezonālā uzkopšana;;kapec ignorejat un nenotirat Pūces ielas posmu un celu pagrieziena gar sis skolas sporta zali??? atbraucat, apskataties,cik cels ir neizbraucams!!!masinas del sniega risām/putras nēsā, izmainīties nevar, slīd uz abam pusem!!!!:@ visur tirat, bet te ne! kapec?;Cēsu novada Komunālā nodaļa;36h 43m 00s;Izpildītie
"﻿""2019-01-27 14:20:55""";Ielas un ceļi;Sezonālā uzkopšana;Piesnigusi braucamā daļa;Ceļu uzturētājs sniegu no ceļa sastum privātmāju sētās. Ceriņu - Niniera ielas krustojums 2 privātmājas. ;Cēsu novada Komunālā nodaļa;67h 46m 14s;Izpildītie
"﻿""2019-01-28 11:30:25""";Sabiedriskā kārtība;Atkritumi;Nesakopta teritorija;Rīgas ielas 23 pagalmā. Šķiet, ka problēma lielāka kā tikai atkritumi - te pagalmā reizēm manīti cilvēki(pieauguši), kuri lieto kādas vielas;Cēsu novada Pašvaldības policija;71h 20m 13s;Izpildītie
"﻿""2019-01-28 14:00:32""";Ielas un ceļi;Sezonālā uzkopšana;Piesnigusi braucamā daļa;Sveiki! Joprojām nav iztīrīts Kaļķu ielas posms pie CATA. ;Cēsu novada Komunālā nodaļa;68h 41m 12s;Izpildītie
"﻿""2019-01-29 08:16:55""";Ielas un ceļi;Sezonālā uzkopšana;Piesnigusi braucamā daļa;tīrīšanas tehnika brauc pa putru ar paceltām lāpstām un sniegā kaisa kaisāmo materiālu. pilnībā bezjēdzīgi, lūdzu risināt šo problēmu;Cēsu novada Komunālā nodaļa;25h 45m 24s;Izpildītie
"﻿""2019-01-29 15:57:14""";Ielas un ceļi;Sezonālā uzkopšana;;2.dienu ceļš nav izbraucams, aizputināts. Lūdzu palīdziet tikt mājās!;Cēsu novada Komunālā nodaļa;00h 46m 58s;Izpildītie
"﻿""2019-01-30 00:14:46""";Ielas un ceļi;Sezonālā uzkopšana;Piesnigusi braucamā daļa;Vajadzetu atkal notirit Pūces ielu. Sasnigusa sniega del (no 26.01. lidz sim bridim) cels ir apgrutinati izbraucams.;Cēsu novada Komunālā nodaļa;34h 24m 03s;Izpildītie
"﻿""2019-01-30 08:56:38""";Ielas un ceļi;Sezonālā uzkopšana;Sniega sanesumi apgrūtina redzamību;Ietvju tīrītājs ar traktoriņu regulāri sastumj mums piederošā iebrauktuvē visu lieko sniegu no ietves. Vakar vakarā jau iztīrijām, lai tiktu ārā no mājas ar mašīnu, un šodien atkal nekaunīgi bija sastūmis visu sniegu. Nācās tīrīt atkal.;Cēsu novada Komunālā nodaļa;00h 59m 04s;Izpildītie
"﻿""2019-01-30 08:59:38""";Ielas un ceļi;Sezonālā uzkopšana;;Paldies Saules ielas greideristam! Izcils meistardarbs!;Cēsu novada Komunālā nodaļa;00h 51m 16s;Izpildītie
"﻿""2019-01-30 10:58:16""";Ielas un ceļi;Sezonālā uzkopšana;Nav notīrīts gājēju celiņš;Nav izbrienams!;Cēsu novada Komunālā nodaļa;00h 06m 03s;Izpildītie
"﻿""2019-01-30 14:05:26""";Ielas un ceļi;Sezonālā uzkopšana;Apledojusi braucamā daļa;Labdien! Kvartāla iedzīvotāji vārdā, lūdzam rast iespēju novākt sniegu no brauktuves cela gar katlu māju L. Paegles ielā.;Cēsu novada Komunālā nodaļa;20h 29m 14s;Izpildītie
"﻿""2019-01-30 17:04:00""";Ielas un ceļi;Sezonālā uzkopšana;Piesnigusi braucamā daļa;Ludzu iztīrīt Kalna ielas galu pie Miera ielas, iegriežoties automašīnais no Miera ielas vair nevar izmainīties divas automašīnas;Cēsu novada Komunālā nodaļa;39h 19m 45s;Izpildītie
"﻿""2019-01-30 19:42:13""";Ielas un ceļi;Sezonālā uzkopšana;Sniega sanesumi apgrūtina redzamību;Krustojumā autovadītāju redzamību apgrūtina sniega vaļņi, kupenas. Grūti paredzēt krustojumu, braucot pa Uzvaras bulvāris. ;Cēsu novada Komunālā nodaļa;14h 49m 20s;Izpildītie
"﻿""2019-01-31 08:58:36""";Ielas un ceļi;Sezonālā uzkopšana;Piesnigusi braucamā daļa;Mazās Lìgatnes ielas kalns grùti izbraucams, vajadzìgs izšķùrēt. ;Cēsu novada Komunālā nodaļa;01h 27m 03s;Izpildītie
"﻿""2019-01-31 10:41:28""";Ielas un ceļi;Sezonālā uzkopšana;Apledojusi braucamā daļa;Labdien! Vai tiešām jūs uzskatat,ka tas ir pabeigts darbs? Vai ņirgājaties par tautu????;Cēsu novada Komunālā nodaļa;95h 09m 26s;Izpildītie
"﻿""2019-01-31 11:40:46""";Ielas un ceļi;Sezonālā uzkopšana;Apledojusi braucamā daļa;Lūk , kur godam padariits darbs! Par ko ir vērts samaksaat, nevis izmest naudu vējā.;Cēsu novada Komunālā nodaļa;20h 39m 49s;Izpildītie
"﻿""2019-02-01 07:31:47""";Auto novietošana;Pamests transports;Atvērtas tehniskās durvis;Baznīcas laukums 1 pie ieejas Cēsu Kultūras un tūrisma centrā jau kādu ilgāku brīdi stāv sasists, apsnidzis un piesnidzis auto ar vaļā durvīm.;Cēsu novada Pašvaldības policija;02h 20m 05s;Izpildītie
"﻿""2019-02-01 08:51:24""";Ielas un ceļi;Sezonālā uzkopšana;Piesnigusi braucamā daļa;Sveiki! Paldies, ka notīrīta iebrauktuves daļa, bet būtu jauki, ja arī pārējo notīrītu. ;Cēsu novada Komunālā nodaļa;95h 49m 41s;Izpildītie
"﻿""2019-02-01 10:10:58""";Daudzdzīvokļu namu apsaimniekošana;Daudzdzīvokļu namu aprīkojums;Cits aprīkojums;labdien, Vai ir iespējams veikt Saules ielas xxx iekšpagalma iebraucamā ceļa izščūrēšanu no sniega- ļoti sarežģīti iebraukt iekšpagalmā. cieņā, xxxxx;Cēsu novada Komunālā nodaļa;02h 27m 15s;Izpildītie
"﻿""2019-02-01 13:10:33""";Apgaismojums;Ielu apgaismojums;;Visās Cēsīs deg ielu apgaismojums.;Cēsu novada Komunālā nodaļa;00h 38m 34s;Izpildītie
"﻿""2019-02-01 13:15:56""";Apgaismojums;Ielu apgaismojums;;Plkst 13.00 ...viss Vienības laukums un Raunas iela jau gatava naktij!;Cēsu novada Komunālā nodaļa;00h 26m 00s;Izpildītie
"﻿""2019-02-01 13:28:54""";Apgaismojums;Ielu apgaismojums;Atvērtas tehniskās durvis;Gašā dienas laikā deg gaismas;Cēsu novada Komunālā nodaļa;00h 10m 41s;Izpildītie
"﻿""2019-02-01 15:11:31""";Ielas un ceļi;Sezonālā uzkopšana;Piesnigusi braucamā daļa;Pāvila iela senjau kā nav kārtīgi nogreiderēta un ar mašīnu ir grūti izbraucama sniega dēļ. ;Cēsu novada Komunālā nodaļa;66h 41m 30s;Izpildītie
"﻿""2019-02-02 06:20:27""";Ielas un ceļi;Ceļa aprīkojums;;Lùdzu visiem paziñot par to,ka Zirñu ielà tagad ir vienvirziena kustìba.  Neiespèjami izbraukt,ja cilvèki neievèro izliktàs zìmes, un brauc pèc ieraduma kà pa divvirziena ielu.;Cēsu novada Komunālā nodaļa;51h 21m 36s;Izpildītie
"﻿""2019-02-02 11:14:02""";Ielas un ceļi;Sezonālā uzkopšana;Piesnigusi braucamā daļa;Krasta ielas krustojums ar Dzirnavu ielu notīrīts tā, lai braucot no Pipariņu puses pa Dzirnavu ielu netiktu pāri lielam sniega valnim, tas notiek regulāri! ;Cēsu novada Komunālā nodaļa;46h 24m 30s;Izpildītie
"﻿""2019-02-03 10:39:58""";Ielas un ceļi;Sezonālā uzkopšana;Nav notīrīts gājēju celiņš;Lielu daļa pilsētas ietvju klāj ledus. Nepieciešams izkaisīt pretslīdes materiālu. ;Cēsu novada Komunālā nodaļa;22h 52m 52s;Izpildītie
"﻿""2019-02-03 13:56:57""";Sabiedriskā kārtība;Atkritumi;Nesakopta teritorija;Šonedēļ vienuviet tika vākti Veismaņu-Krīvu ceļa sazāģētie koku zari. Neiebilstu, ka tie daļēji atrodas uz mana īpašuma..turpinājums bildē;Cēsu novada Pašvaldības policija;99h 00m 31s;Izpildītie
"﻿""2019-02-04 09:48:56""";Auto novietošana;Neatļauta novietošana;;Auto stāv izstāžu laukumā zem ķieģeļa;Cēsu novada Pašvaldības policija;00h 38m 18s;Izpildītie
"﻿""2019-02-05 08:55:54""";Ielas un ceļi;Sezonālā uzkopšana;Apledojusi braucamā daļa;Lūdzam notīrīt ceļu Miera ielas galā. Vienlaikus jautājums - vai šo ceļu tīrīsiet tikai uz pieprasījumu??;Cēsu novada Komunālā nodaļa;29h 47m 22s;Izpildītie
"﻿""2019-02-05 12:27:41""";Ielas un ceļi;Sezonālā uzkopšana;Sniega sanesumi apgrūtina redzamību;Automašīnas kustība abos virzienos ir apgrūtināta. Ja uz ceļa satiekas lielākas mašīnas nekā domes mazās mašīnītes. Var dabūt skādi. Kad beidzot savāks sniegu Dzintara ielā? Viena no galvenajām ielām kur ir intensīva kustība.;Cēsu novada Komunālā nodaļa;26h 08m 44s;Izpildītie
"﻿""2019-02-05 13:53:41""";Vide;Nesakopta teritorija;Nesakopts īpašums;Iespējams krītošs sniegs no Pastariņa skolas jumta uz trotuāru.;Cēsu novada Pašvaldības policija;01h 44m 10s;Izpildītie
"﻿""2019-02-05 17:18:23""";Auto novietošana;Neatļauta novietošana;;bērnudārza apmeklētāji novieto automašīnu pretī vārtiem ;Cēsu novada Pašvaldības policija;02h 42m 44s;Izpildītie
"﻿""2019-02-06 19:22:27""";Apgaismojums;Ielu apgaismojums;Atvērtas tehniskās durvis;Piebalgas iela neviena laterna nedeg! Kas atrodas posma no lulsafora lidz policijai!;Cēsu novada Komunālā nodaļa;15h 25m 47s;Izpildītie
"﻿""2019-02-06 22:54:52""";Ielas un ceļi;Sezonālā uzkopšana;Nav notīrīts gājēju celiņš;Neviena iela Cēsis ar ratiem nav normāli izbraucama,  pastaiga ar bernu parveršas par braukšanu pa kartupeļu vagu. Kāpēc cēsīs neviena iela netiek tīrita? Bernu arī pēc medicīniskā viedokļa nedrīkst kratīt, bet ejot ārā pa vadiem ceļiem smadzeņu satricinājumu var dabut!!!!!!!!!!;Cēsu novada Komunālā nodaļa;17h 41m 43s;Izpildītie
"﻿""2019-02-06 23:26:30""";Apgaismojums;Ielu apgaismojums;Nedeg viena vai vairākas laternas;Piebalgas ielā, posmā no ugunsdzēsēju depo līdz veikalam ksenukai, nedarbojas ielas apgaismojums.;Cēsu novada Komunālā nodaļa;11h 21m 09s;Izpildītie
"﻿""2019-02-07 12:48:10""";Ielas un ceļi;Sezonālā uzkopšana;Piesnigusi braucamā daļa;Labdien!Netiek tīrīts Lāču ielas posms, gar Lāču ielu xx.Ir sašķūrēts ielai priekšā sniega valnis. Neiespējami izbraukt;Cēsu novada Komunālā nodaļa;03h 46m 43s;Izpildītie
"﻿""2019-02-07 17:45:40""";Sabiedriskā kārtība;Cilvēki;Iereibuši cilvēki;Šoks par šo! Prātam neaptverami, kā cilvēki spēj vispār kaut ko tādu uzdrīkstēties! Tāda necieņa pret cienījama cilvēka darbu, vienu no Cēsu simboliem! Vai nepienākas nekāds sods? Ko dara šādas nekaunības gadījumā?;Cēsu novada Pašvaldības policija;17h 57m 45s;Izpildītie
"﻿""2019-02-07 18:18:32""";Apgaismojums;Ielu lampas;Rises braucamajā daļā;Vilku ielā pa dienu deg laternas, vakarā nedeg;Cēsu novada Komunālā nodaļa;17h 50m 09s;Izpildītie
"﻿""2019-02-08 12:13:29""";Ielas un ceļi;Sezonālā uzkopšana;Piesnigusi braucamā daļa;Paldies ietvju uzkopējam, kurš priekš sniega nostumšanas novērtējis par labu esam ar rokām tīrīto iebrauktuvi pie mājas Cīrulīšu ielā xx. ;Cēsu novada Komunālā nodaļa;97h 35m 56s;Izpildītie
"﻿""2019-02-08 17:39:27""";Ielas un ceļi;Ceļa segums;Bedres;Gar bibliotèku ceĺś vienàs bedrès.;Cēsu novada Komunālā nodaļa;63h 44m 44s;Izpildītie
"﻿""2019-02-08 22:28:03""";Sabiedriskā kārtība;Bērni;Sniega sanesumi apgrūtina redzamību;mūsuprāt nepilngadīga meitene lieto alkaholu un smēķē;Cēsu novada Pašvaldības policija;00h 37m 10s;Izpildītie
"﻿""2019-02-10 10:32:27""";Auto novietošana;Pamests transports;;pamesta auto grāvī;Cēsu novada Pašvaldības policija;02h 00m 27s;Izpildītie
"﻿""2019-02-10 20:42:17""";Apgaismojums;Ielu apgaismojums;Nedeg viena vai vairākas laternas;nedeg neviena lampa ielas apgaismojumam. cirulisu iela;Cēsu novada Komunālā nodaļa;13h 07m 32s;Izpildītie
"﻿""2019-02-11 11:06:43""";Ielas un ceļi;Ceļa segums;Rises braucamajā daļā;Pāvila iela, Annas iela posmā no Cīrulīšuielas līdz Pāvila ielai  un citas ieliņas mūsu rajonā ir tīrākajā ledū. Nav iespējams pārvietoties. Kad tiks kaisītas???;Cēsu novada Komunālā nodaļa;03h 36m 58s;Izpildītie
"﻿""2019-02-11 13:22:46""";Ielas un ceļi;Sezonālā uzkopšana;Apledojusi braucamā daļa;Labdien! Vai, lūdzu, varētu nokaisīt braucamo daļu Ceriņu ielā, jo ir ļoti ierobežota pārvietošanās, īpaši gados vecākiem cilvēkiem, ar cieņu xxxxxx;Cēsu novada Komunālā nodaļa;04h 37m 57s;Izpildītie
"﻿""2019-02-11 20:16:09""";Ielas un ceļi;Ceļa segums;;Liela dziļa bedrē Raiņa ielā, pie garāžām, 10 metri tālāk uz Globusa pusi peļķē paslēpusies tik pat liela...... ;Cēsu novada Komunālā nodaļa;18h 13m 12s;Izpildītie
"﻿""2019-02-12 09:58:39""";Apgaismojums;Daudzdzīvokļu ēku pagalmu apgaismojums;Atvērts komunikāciju lūkas vāks;Šorīt,12.02. Pl.10 vēl ieslēgts ielas apgaismojums ziemeļu ielā, A.Kalniņa ielas rajonā.;Cēsu novada Komunālā nodaļa;00h 44m 16s;Izpildītie
"﻿""2019-02-12 16:30:11""";Ielas un ceļi;Sezonālā uzkopšana;Piesnigusi braucamā daļa;A.Kalniņa iela - ceļš uz bērnu dārzu ir neizbraucams un neiztaigājams. Slidens, netīrīrs. Katru dienu uzdārziņu dodas bērni. Šo ielu noteikti vajag uzkopt un turēt sakoptu visu laiku. ;Cēsu novada Komunālā nodaļa;18h 36m 39s;Izpildītie
"﻿""2019-02-13 17:48:45""";Ielas un ceļi;Ceļa segums;Bedres;Dziła bedre;Cēsu novada Komunālā nodaļa;16h 11m 15s;Izpildītie
"﻿""2019-02-13 20:02:37""";Apgaismojums;Daudzdzīvokļu ēku pagalmu apgaismojums;Lapas uz braucamās daļas;Tā tiek tīrīts sniegs pie Niniera ielas 4. Darbs saucas pabeigts. ;Cēsu novada Komunālā nodaļa;13h 53m 43s;Noraidītie
"﻿""2019-02-14 17:43:23""";Sabiedriskā kārtība;Atkritumi;Nedarbojas luksofors;Regulāri uz Cīrulīšu ielas ir izbārstītas reklāmas lapiņas, tai skaitā, Cēsu pašvaldības bukleti. ;Cēsu novada Pašvaldības policija;17h 50m 55s;Izpildītie
"﻿""2019-02-15 07:55:54""";Ielas un ceļi;Sezonālā uzkopšana;Apledojusi braucamā daļa;Labrīt! Palejas iela šorīt slidotava. Ielas segums viss vienā ledū. Lūdzu, nokaisiet! Paldies!;Cēsu novada Komunālā nodaļa;03h 40m 17s;Izpildītie
"﻿""2019-02-16 18:43:28""";Apgaismojums;Ielu lampas;Rises braucamajā daļā;Nedeg vairāki lukturi uz Torņa ielas, viens no tiem pie publiskās tualetes. ;Cēsu novada Komunālā nodaļa;44h 48m 12s;Izpildītie
"﻿""2019-02-16 18:44:43""";Apgaismojums;Ielu apgaismojums;;Jau otro vakaru L.Paegles ielas rajonā uz visām ielām melna pekles tumsa, nedeg vispār ielu apgaismojums. ;Cēsu novada Komunālā nodaļa;39h 08m 07s;Izpildītie
"﻿""2019-02-16 22:24:55""";Apgaismojums;Ielu apgaismojums;Nedeg viena vai vairākas laternas;Visa Leona Paegles iela tumsā;Cēsu novada Komunālā nodaļa;35h 27m 29s;Izpildītie
"﻿""2019-02-17 12:13:26""";Sabiedriskā kārtība;Bērni;Nepieskatīts bērns;Bērnu laukums viss vienā ledū!;Cēsu novada Pašvaldības policija;27h 15m 48s;Izpildītie
"﻿""2019-02-17 16:16:16""";Sabiedriskā kārtība;Atkritumi;Nedarbojas luksofors;Pīlju grava pie Maksimas.;Cēsu novada Pašvaldības policija;23h 10m 30s;Izpildītie
"﻿""2019-02-17 19:33:06""";Apgaismojums;Ielu apgaismojums;;Ievēroju, ka vakaros un naktīs nedeg ielu apgaismojums Leona Paegles un Lapsu ielas rajonã. ;Cēsu novada Komunālā nodaļa;14h 18m 52s;Izpildītie
"﻿""2019-02-18 19:05:49""";Apgaismojums;Ielu apgaismojums;Nedeg viena vai vairākas laternas;Pilnīga tumsa Leona Paegles ielā ;Cēsu novada Komunālā nodaļa;19h 07m 23s;Izpildītie
"﻿""2019-02-18 19:10:44""";Apgaismojums;Ielu apgaismojums;;Labvakar! L.Paegles ielas rajons joprojām tumsā! ;Cēsu novada Komunālā nodaļa;19h 01m 24s;Izpildītie
"﻿""2019-02-19 13:57:02""";Vide;Nesakopta teritorija;Nesakopts īpašums;Netīrs, noskrandis, koku zaros ieķēries Latvijas karogs Valmieras ielā 17,Cēsīs ;Cēsu novada Pašvaldības policija;01h 31m 07s;Izpildītie
"﻿""2019-02-19 15:08:43""";Apgaismojums;Ielu apgaismojums;Nedeg viena vai vairākas laternas;Leona Paegles ielas nakts apgaismojums nedarbojas jau vairākas dienas pēc kārtas. Kas ir noticis? ;Cēsu novada Komunālā nodaļa;00h 48m 04s;Izpildītie
"﻿""2019-02-20 10:15:31""";Ielas un ceļi;Ceļa segums;;Pie Kaļķu ielas 3 ēkas, ka uz braucamās daļas zemes iegruvums. ;Cēsu novada Komunālā nodaļa;22h 43m 05s;Izpildītie
"﻿""2019-02-20 16:34:55""";Ielas un ceļi;Ceļa segums;;pār ceļu nogāzta egle. ne stumt, ne vilkt, ne izkustināt :);Cēsu novada Komunālā nodaļa;16h 03m 04s;Izpildītie
"﻿""2019-02-20 18:28:56""";Apgaismojums;Ielu lampas;;Ielas apgaismojums ik pa laikam izslēdzas un tad atkal ieslēdzas ;Cēsu novada Komunālā nodaļa;21h 43m 18s;Izpildītie
"﻿""2019-02-21 08:53:03""";Ielas un ceļi;Ceļa segums;Bedres;Cēsīs, Raiņa iela- bīstama bedre starp Viršu DUS un TC Globuss, braucot virzienā no stacijas.;Cēsu novada Komunālā nodaļa;07h 43m 09s;Izpildītie
"﻿""2019-02-21 10:37:00""";Ielas un ceļi;Ceļa segums;;Pēc ziemas ļoti bojāts svaigs asfalts (2 gadi vecs), plaisas ceļa vidū un nodrupušas malas Leona Paegles ielas galā un uz Meža ielas. Vēlams labot, kamēr (?) ir garantija. Linkā bildes https://failiem.lv/u/22ja7qs8. Paldies!;Cēsu novada Komunālā nodaļa;99h 43m 29s;Izpildītie
"﻿""2019-02-21 12:28:42""";Apgaismojums;Ielu lampas;Rises braucamajā daļā;Nedeg ielas apgaismojuma lampa Ķiršu ielā pie mājām nr. 37 un 39.;Cēsu novada Komunālā nodaļa;20h 11m 44s;Izpildītie
"﻿""2019-02-21 13:36:31""";Ielas un ceļi;Ceļa aprīkojums;;Lūdzu beidzot pie Auto kontinenta (Uzvaras bulvāra un J.Poruka ielas krustojums) izveidot gājēju pāreju!!! ;Cēsu novada Komunālā nodaļa;02h 48m 44s;Izpildītie
"﻿""2019-02-22 21:37:01""";Auto novietošana;Neatļauta novietošana;;Lielajā kalēju ielā novietots auto  uz ietves ;Cēsu novada Pašvaldības policija;01h 13m 02s;Izpildītie
"﻿""2019-02-22 22:49:30""";Daudzdzīvokļu namu apsaimniekošana;Atkritumu izvešana;Nav notīrītas smiltis no braucamās daļas;Šāds skats regulāri. Putni, vējš izmētā atkritumus pa pagalmu. Skats nav estētisks un neviens negrib dzīvot atkritumos. Pie mūsu mājas nav kur normāli novietot auto. Citi atļaujas uz mašīnas loga nolikt miskasti, jo traucē izmest atkritumus. ;Cēsu novada Komunālā nodaļa;67h 00m 04s;Izpildītie
"﻿""2019-02-24 12:05:41""";Vide;Koki un apstādījumi;Nolūzis vai bīstams koks;Nokritis koks.;Cēsu novada Pašvaldības policija;26h 14m 57s;Izpildītie
"﻿""2019-02-24 20:55:27""";Ielas un ceļi;Ceļa segums;Bedres;Asa bedre, pilna ar ûdeni, pretī swetbankai .šis ir tikai Apvidus automobilis ar seviški augstu riepu profilu.;Cēsu novada Komunālā nodaļa;17h 11m 55s;Izpildītie
"﻿""2019-02-24 22:46:34""";Ielas un ceļi;Ceļa aprīkojums;;Salauzta ceļa zime6;Cēsu novada Komunālā nodaļa;15h 17m 55s;Izpildītie
"﻿""2019-03-04 10:17:31""";Ielas un ceļi;Ceļa segums;Bedres;Uz Vaļņu ielas no Kases ielas līdz Vienības laukumam vairākas nejaukas bedres uz brauktuves. ;Cēsu novada Komunālā nodaļa;45h 48m 09s;Izpildītie
"﻿""2019-03-05 12:44:26""";Ielas un ceļi;Ceļa segums;Bedres;Viestura ielā pie autobusa pieturas, pretī slimnīcas stāvlaukumam milzīga bedre! Šodien pārsitām riteni!;Cēsu novada Komunālā nodaļa;19h 33m 44s;Izpildītie
"﻿""2019-03-09 19:05:30""";Apgaismojums;Ielu apgaismojums;;Vairākas dienas nav ielu apgaismojuma Avotu ielā, Cēsīs. Kāda te problēma?;Cēsu novada Komunālā nodaļa;38h 42m 40s;Izpildītie
"﻿""2019-03-09 20:40:35""";Apgaismojums;Ielu apgaismojums;Nedeg viena vai vairākas laternas;Sveiki! Pāvila, Annas, Raiskuma, Avotu ielā 3šo dienu nedeg ielu apgaismojums. Lūdzu steidzamu risinājumu.;Cēsu novada Komunālā nodaļa;37h 06m 30s;Izpildītie
"﻿""2019-03-09 21:19:11""";Apgaismojums;Ielu lampas;;Jau kuru dienu uz pavila ielas un alejas ielas , nav apgaismojuma kapec ? ;Cēsu novada Komunālā nodaļa;36h 28m 36s;Izpildītie
"﻿""2019-03-10 17:53:15""";Vide;Koki un apstādījumi;Nolūzis vai bīstams koks;Apgāzušies koki ejot cauri avotu ielejas parkam.;Cēsu novada Pašvaldības policija;23h 57m 20s;Izpildītie
"﻿""2019-03-11 13:10:45""";Sabiedriskā kārtība;Atkritumi;Nedarbojas luksofors;Izdemolēts konteiners pretī Aromai.;Cēsu novada Pašvaldības policija;01h 04m 27s;Izpildītie
"﻿""2019-03-12 17:42:52""";Apgaismojums;Ielu apgaismojums;;Sašķiebta lampa pie bibliotēkas galvenās ieejas. ;Cēsu novada Komunālā nodaļa;64h 19m 56s;Izpildītie
"﻿""2019-03-13 13:26:21""";Vide;Koki un apstādījumi;Izpostīti apstādījumi;Apgāzies koks pēc pagājušās nedēļas stiprajiem vējiem.;Cēsu novada Pašvaldības policija;46h 17m 37s;Izpildītie
"﻿""2019-03-13 13:42:36""";Sabiedriskā kārtība;Atkritumi;Nesakopta teritorija;Ejot garām ļoti nesmuks skats paverās;Cēsu novada Pašvaldības policija;01h 17m 56s;Izpildītie
"﻿""2019-03-13 22:26:11""";Apgaismojums;Ielu apgaismojums;Nedeg viena vai vairākas laternas;Glūdas 4 nedeg ielas apgaismojums jau četras naktis;Cēsu novada Komunālā nodaļa;35h 41m 55s;Izpildītie
"﻿""2019-03-15 23:37:34""";Apgaismojums;Ielu apgaismojums;Nedeg viena vai vairākas laternas;Piebalgas ielā, pie veikala KSenukai, nedarbojas ielas apgaismojums, kas apgrūtina braukšanu aplī.;Cēsu novada Komunālā nodaļa;60h 00m 10s;Izpildītie
"﻿""2019-03-16 13:09:45""";Auto novietošana;Neatļauta novietošana;;Lūgums informēt vadītāju / brīdināt, ka nav jāstāv uz ietves. Mašīna stāv no vakardienas ;Cēsu novada Pašvaldības policija;00h 17m 41s;Izpildītie
"﻿""2019-03-16 13:11:27""";Auto novietošana;Neatļauta novietošana;;Neatļautā novietosana ;Cēsu novada Pašvaldības policija;00h 20m 15s;Izpildītie
